pc, r0, r1, r1, r3, r4, r5, r6, r7, r8, r9, r10, r11, r12, r13, r14, r15,16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31,mstatus, mip, mie, mtvec, mepc, mcause, mtval, mscratch, medeleg, midleg, mtimecmp, mtime,sstatus, sip, sie, stvec, sepc, scause, stval, sscratch, sedeleg, sidleg, stimecmp,ustatus, uip, uie, utvec, uepc, ucause, utval, uscratch, utimecmp
40000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00X01800, 000000a0, 00000000, 00000000, 00000000, 00000000, 00000000, 00000000, 00000000, 00000000, 0000000000000000, 0000000000000003,00000000, 00000020, 00000000, 00000000, 00000000, 00000000, xxxxxxxx, 00000000, 00000000, 00000000, 0000000000000000,00000000, 00000010, 00000000, 00000000, 00000000, 00000000, 00000000, 00000000, 0000000000000000,
40000004,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00X01800, 000000a0, 00000000, 00000000, 00000000, 00000000, 00000000, 00000000, 00000000, 00000000, 0000000000000000, 0000000000000008,00000000, 00000020, 00000000, 00000000, 00000000, 00000000, xxxxxxxx, 00000000, 00000000, 00000000, 0000000000000000,00000000, 00000010, 00000000, 00000000, 00000000, 00000000, 00000000, 00000000, 0000000000000000,
40000008,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00X01800, 000000a0, 00000000, 00000000, 00000000, 00000000, 00000000, 00000000, 00000000, 00000000, 0000000000000000, 000000000000000b,00000000, 00000020, 00000000, 00000000, 00000000, 00000000, xxxxxxxx, 00000000, 00000000, 00000000, 0000000000000000,00000000, 00000010, 00000000, 00000000, 00000000, 00000000, 00000000, 00000000, 0000000000000000,
4000000c,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00X01800, 000000a0, 00000000, 00000000, 00000000, 00000000, 00000000, 00000000, 00000000, 00000000, 0000000000000000, 000000000000000e,00000000, 00000020, 00000000, 00000000, 00000000, 00000000, xxxxxxxx, 00000000, 00000000, 00000000, 0000000000000000,00000000, 00000010, 00000000, 00000000, 00000000, 00000000, 00000000, 00000000, 0000000000000000,
40000010,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00X01800, 000000a0, 00000000, 00000000, 00000000, 00000000, 00000000, 00000000, 00000000, 00000000, 0000000000000000, 0000000000000011,00000000, 00000020, 00000000, 00000000, 00000000, 00000000, xxxxxxxx, 00000000, 00000000, 00000000, 0000000000000000,00000000, 00000010, 00000000, 00000000, 00000000, 00000000, 00000000, 00000000, 0000000000000000,
40000014,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00X01800, 000000a0, 00000000, 00000000, 00000000, 00000000, 00000000, 00000000, 00000000, 00000000, 0000000000000000, 0000000000000014,00000000, 00000020, 00000000, 00000000, 00000000, 00000000, xxxxxxxx, 00000000, 00000000, 00000000, 0000000000000000,00000000, 00000010, 00000000, 00000000, 00000000, 00000000, 00000000, 00000000, 0000000000000000,
40000018,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00X01800, 000000a0, 00000000, 00000000, 00000000, 00000000, 00000000, 00000000, 00000000, 00000000, 0000000000000000, 0000000000000017,00000000, 00000020, 00000000, 00000000, 00000000, 00000000, xxxxxxxx, 00000000, 00000000, 00000000, 0000000000000000,00000000, 00000010, 00000000, 00000000, 00000000, 00000000, 00000000, 00000000, 0000000000000000,
4000001c,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00X01800, 000000a0, 00000000, 00000000, 00000000, 00000000, 00000000, 00000000, 00000000, 00000000, 0000000000000000, 000000000000001a,00000000, 00000020, 00000000, 00000000, 00000000, 00000000, xxxxxxxx, 00000000, 00000000, 00000000, 0000000000000000,00000000, 00000010, 00000000, 00000000, 00000000, 00000000, 00000000, 00000000, 0000000000000000,
40000020,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00X01800, 000000a0, 00000000, 00000000, 00000000, 00000000, 00000000, 00000000, 00000000, 00000000, 0000000000000000, 000000000000001d,00000000, 00000020, 00000000, 00000000, 00000000, 00000000, xxxxxxxx, 00000000, 00000000, 00000000, 0000000000000000,00000000, 00000010, 00000000, 00000000, 00000000, 00000000, 00000000, 00000000, 0000000000000000,
40000024,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00X01800, 000000a0, 00000000, 00000000, 00000000, 00000000, 00000000, 00000000, 00000000, 00000000, 0000000000000000, 0000000000000020,00000000, 00000020, 00000000, 00000000, 00000000, 00000000, xxxxxxxx, 00000000, 00000000, 00000000, 0000000000000000,00000000, 00000010, 00000000, 00000000, 00000000, 00000000, 00000000, 00000000, 0000000000000000,
